Section,Key,English,Spanish
App Name,appName,SOULGATE,SOULGATE
App Name,appTagline,TAROT & LIGHT,TAROT Y LUZ
Language Selection,selectLanguage,Select Language,Seleccionar idioma
Language Selection,english,English,English
Language Selection,spanish,Español,Español
Language Selection,choose,"Focus on your question, then","Enfócate en tu pregunta, luego"
Authentication,login,Log in,Iniciar sesión
Authentication,signUp,Sign Up,Registrarse
Authentication,name,Name,Nombre
Authentication,email,Email,Correo electrónico
Authentication,password,Password,Contraseña
Authentication,enterYourEmail,Enter your email,Ingresa tu correo electrónico
Authentication,enterYourPassword,Enter your password,Ingresa tu contraseña
Authentication,forgotPassword,Forgot Password?,¿Olvidaste tu contraseña?
Authentication,dontHaveAccount,"Don't have an account?",¿No tienes una cuenta?
Authentication,alreadyHaveAccount,Already have an account?,¿Ya tienes una cuenta?
Authentication,createAccount,Create Account,Crear cuenta
Authentication,createAccountBtn,Create account,Crear cuenta
Authentication,creatingAccountBtn,Creating account...,Creando cuenta...
Authentication,confirmPassword,Confirm Password,Confirmar contraseña
Authentication,fullName,Full Name,Nombre completo
Subscription,unlockSoulPath,"UNLOCK YOUR FULL\nSOUL PATH","DESBLOQUEA TU CAMINO\nCOMPLETO DEL ALMA"
Subscription,accessUnlimitedReadings,"Access Unlimited Readings, Voice Guidance, And\nDeeper Spiritual Clarity.","Accede a lecturas ilimitadas, guía por voz y\nuna claridad espiritual más profunda."
Subscription,freeReadings,These are your free readings,Estas son tus lecturas gratuitas
Subscription,startFreeTrial,Start Your 7-Day Free Trial,Comienza tu prueba gratuita de 7 días
Subscription,trialNoChargeInfo,"You won't be charged until the end of the trial. Cancel\nanytime.","No se te cobrará hasta el final de la prueba. Cancela\nen cualquier momento."
Welcome,welcomeTitle,"Welcome to\nSoulGate","Bienvenido a\nSoulGate"
Welcome,welcomeSubtitle,To the realm of the soul,Al reino del alma
Welcome,welcomeDescription,"A space of clarity, guidance, and light","Un espacio de claridad, guía y luz"
Welcome,customizeExperience,Customize Your Experience,Personaliza tu experiencia
Welcome,continueText,Continue,Continuar
Welcome,innerWorldTitle,"Your inner\nworld,\nilluminated.","Tu mundo\ninterior,\niluminado."
Welcome,audioAndTextReading,Audio & Text Reading,Lectura de audio y texto
Welcome,textReading,Text Reading,Lectura de texto
Welcome,personalizedReadings,Personalized tarot readings,Lecturas de tarot personalizadas
Welcome,voiceOrText,Voice or text guidance,Guía por voz o texto
Welcome,guideMessages,Messages from your guides,Mensajes de tus guías
Welcome,lifeInsights,"Insights for love, purpose, money & spiritual path","Perspectivas sobre amor, propósito, dinero y camino espiritual"
Welcome,secureSpace,"Secure, private, sacred space","Espacio seguro, privado y sagrado"
Welcome,freeReadingsTitle,"Your first\nreadings\nare a gift.","Tus primeras\nlecturas\nson un regalo."
Welcome,subscriptionRequiredMessage,An active subscription is required to access SoulGate. Please subscribe to continue your spiritual journey.,Se requiere una suscripción activa para acceder a SoulGate. Por favor suscríbete para continuar tu viaje espiritual.
Welcome,subscriptionRequired,Subscription Required,Suscripción Requerida
Welcome,goToSubscription,Go to Subscription,Ir a Suscripción
Welcome,freeReadingsDescription,"To help you experience the depth of SoulGate, you receive 5 free readings. Each one is unique, channeled, and designed to bring clarity.","Para ayudarte a experimentar la profundidad de SoulGate, recibes 5 lecturas gratuitas. Cada una es única, canalizada y diseñada para brindar claridad."
Reading Flow,selectDeckOfCards,Select Deck of Cards,Selecciona una baraja de cartas
Reading Flow,howWouldYouLikeYourReading,"How would you like\nyour reading?","¿Cómo te gustaría\ntu lectura?"
Reading Flow,stepIntoThePortal,"Step into\nthe portal.","Entra en\nel portal."
Reading Flow,enterThePortal,Enter the Portal,Entrar al Portal
Reading Flow,askTheOracle,Ask the Oracle,Pregunta al Oráculo
Reading Flow,exploreQuestionPrompt,Is this the question\nyou want to explore?,¿Es esta la pregunta\nque quieres explorar?
Reading Flow,typeYourQuestionHint,Type your question here...,Escribe tu pregunta aquí...
Reading Flow,yesContinueButton,"Yes, continue","Sí, continuar"
Reading Flow,preparingYourReading,Shuffle — up to 3 times,Baraja — hasta 3 veces
Reading Flow,shufflingBtn,Shuffling...,Barajando...
Reading Flow,shuffleBtn,Shuffle,Barajar
Reading Flow,sevenCardReading,7 Card Reading,Lectura de 7 cartas
Reading Flow,threeCardReading,You can shuffle up to 3 times,Puedes barajar hasta 3 veces
Reading Flow,connectionIssue,Connection Issue,Problema de conexión
Reading Flow,attemptOfMaxRetries,Attempt $currentAttempt of $maxRetries,Intento $currentAttempt de $maxRetries
Reading Flow,retry,Retry,Reintentar
Reading Flow,goBack,Go Back,Regresar
Reading Flow,readingError,Reading Error,Error de lectura
Reading Flow,yourReading,Your Reading,Tu lectura
Reading Flow,listen,Listen,Escuchar
Blessing,saintMichaelsBlessingTitle,Blessing,Bendición de San Miguel
